Symbol,Date,Open,High,Low,Close,Volume,Category
LTF,2025-10-28,268.5,270.80999755859375,266.2799987792969,268.3500061035156,21647191,Mid Cap
ASHOKLEY,2025-10-28,141.39999389648438,142.24000549316406,138.52000427246094,140.10000610351562,21334243,Mid Cap
INDUSTOWER,2025-10-28,377.0,386.5,375.5,385.8999938964844,20602382,Mid Cap
UNIONBANK,2025-10-28,145.89999389648438,147.72999572753906,144.6999969482422,147.07000732421875,15194370,Mid Cap
GMRAIRPORT,2025-10-28,92.33999633789062,93.58999633789062,92.18000030517578,92.69000244140625,11137106,Mid Cap
BHEL,2025-10-28,235.0,238.5,234.22000122070312,237.33999633789062,9973722,Mid Cap
NHPC,2025-10-28,85.04000091552734,85.41999816894531,84.48999786376953,84.62999725341797,9528901,Mid Cap
ABCAPITAL,2025-10-28,316.1000061035156,318.29998779296875,308.70001220703125,312.6000061035156,9270341,Mid Cap
INDUSINDBK,2025-10-28,773.9000244140625,801.9500122070312,772.4500122070312,799.75,8948361,Mid Cap
VBL,2025-10-28,459.3500061035156,461.29998779296875,451.79998779296875,454.1499938964844,7189256,Mid Cap
NYKAA,2025-10-28,256.0,259.5,253.72000122070312,256.8599853515625,6379166,Mid Cap
BSE,2025-10-28,2511.0,2513.199951171875,2405.0,2419.699951171875,5690046,Mid Cap
RVNL,2025-10-28,332.6499938964844,334.20001220703125,327.29998779296875,328.8500061035156,4632729,Mid Cap
GAIL,2025-10-28,180.1699981689453,180.9499969482422,177.4600067138672,178.4600067138672,4486173,Mid Cap
JINDALSTEL,2025-10-28,1034.300048828125,1077.699951171875,1027.0999755859375,1073.5,4445977,Mid Cap
INDIANB,2025-10-28,830.0,855.4000244140625,830.0,852.9000244140625,4392545,Mid Cap
NTPCGREEN,2025-10-28,101.69999694824219,102.0,101.02999877929688,101.58999633789062,3301540,Mid Cap
MAZDOCK,2025-10-28,2869.89990234375,2881.800048828125,2765.0,2780.39990234375,3093566,Mid Cap
PAYTM,2025-10-28,1313.0,1323.5,1305.0,1309.699951171875,2876887,Mid Cap
DABUR,2025-10-28,508.1000061035156,508.20001220703125,501.0,503.3999938964844,2826407,Mid Cap
AUBANK,2025-10-28,864.2000122070312,881.4000244140625,864.2000122070312,879.9000244140625,2737346,Mid Cap
LAURUSLABS,2025-10-28,941.0,962.7000122070312,936.7999877929688,959.6500244140625,2716006,Mid Cap
LICI,2025-10-28,897.6500244140625,920.5999755859375,895.5499877929688,899.9000244140625,2518859,Mid Cap
MARICO,2025-10-28,720.0999755859375,730.0,716.0,720.0499877929688,2259608,Mid Cap
CHOLAFIN,2025-10-28,1732.4000244140625,1743.5999755859375,1711.0,1723.199951171875,2017814,Mid Cap
MAXHEALTH,2025-10-28,1186.300048828125,1192.5999755859375,1172.0999755859375,1179.699951171875,1810857,Mid Cap
POLICYBZR,2025-10-28,1730.0,1789.0,1730.0,1775.0,1786003,Mid Cap
GODREJCP,2025-10-28,1129.0,1129.0,1110.699951171875,1115.5,1725668,Mid Cap
AMBUJACEM,2025-10-28,563.0,563.25,553.0,554.9000244140625,1487028,Mid Cap
NAUKRI,2025-10-28,1375.699951171875,1393.199951171875,1367.300048828125,1385.699951171875,1412055,Mid Cap
FORTIS,2025-10-28,1059.800048828125,1067.699951171875,1050.800048828125,1057.0,1342739,Mid Cap
BIOCON,2025-10-28,360.54998779296875,368.29998779296875,359.8500061035156,365.75,1341101,Mid Cap
SBICARD,2025-10-28,901.0499877929688,915.0,890.25,905.75,1288380,Mid Cap
WAAREEENER,2025-10-28,3589.800048828125,3590.0,3480.0,3486.39990234375,1236650,Mid Cap
MUTHOOTFIN,2025-10-28,3120.0,3235.0,3089.60009765625,3182.0,1227792,Mid Cap
JUBLFOOD,2025-10-28,595.7000122070312,601.6500244140625,592.0999755859375,600.75,1169233,Mid Cap
VOLTAS,2025-10-28,1431.0,1435.9000244140625,1404.4000244140625,1428.4000244140625,1157671,Mid Cap
TORNTPOWER,2025-10-28,1315.0,1321.0999755859375,1264.0,1277.199951171875,966046,Mid Cap
HAVELLS,2025-10-28,1487.0,1489.699951171875,1471.0999755859375,1480.5999755859375,954761,Mid Cap
KPITTECH,2025-10-28,1223.0,1228.800048828125,1180.199951171875,1190.300048828125,812079,Mid Cap
